id,number,price,product_id
15889,8260DB-RRPW,185,4450
14955,2147SG-12,119,4135
12496,626-36*,257,3394
15599,1708BK-5,229,4385
14748,3401W-04*,99,3988
12518,5235S,49,3401
15890,8255GY-2LCNPHD,364,4451
12533,586-76,209,3406
14966,1255F1S,80,4146
14943,H13441,55,4123
12945,2220-6,22,3498
15811,1718GY-90,239,4430
15600,1708BK-6,53,4385
15242,1916GY-9,249,4291
12524,727-40,269,3403
12498,626-40,289,3394
12487,3270-60,139,3391
15284,5424-4,169,4308
15250,292B-5,339,4292
12497,626-24,52,3394
14986,4605GY,92,4166
15308,5581S,45,4313
13229,1852-4,115,3539
12209,5149S,27,3310
12981,1737NGY-11,249,3502
15772,2529S,42,4412
12130,5415RFS,40,3289
15884,8260DB-AC,82,4450
12529,586,179,3405
12622,1990-9,209,3451
12584,4517,349,3419
12554,727-72,207,3412
15443,5877BR-1DW*,269,4350
15286,5424-6,62,4308
12627,2042-6,31,3452
12097,5460-36,73,3279
12625,2042-4,55,3452
13873,8230BRW-CR,170,3673
14318,B2053TFW-1*,209,3866
15287,5424-9,280,4308
12586,5511,269,3421
12617,1990K-1EK*,329,3451
12619,1990-4,109,3451
12626,2042-5,145,3452
12561,710-72*,207,3414
12620,1990-5,259,3451
12637,5873N-ST,55,3454
12618,1990-1*,249,3451
12597,5067,229,3432
14327,B2013SBDC-1*,349,3868
12833,1718GY-5,249,3481
12790,1916BK-9,249,3475
12559,710-24W,57,3413
15795,1131-29S,71,4424
12598,2558,209,3433
12555,727S,52,3412
15797,1133-29S,77,4425
13878,8230BLK-2RCN,289,3675
15226,1856NG-9,129,4289
12638,5872KN-1CK,209,3455
12621,1990-6,72,3451
15159,1730-5,199,4280
15311,5581A,65,4314
13818,8210GRY-3,319,3661
12224,5108-84,269,3316
15671,1745-4,79,4395
12127,5431-14,95,3288
15225,1856NG-6,32,4289
12612,1140E-24S,61,3447
12628,2042-9,129,3452
12006,5494A,110,3252
15312,5581S,45,4314
15213,1788-1*,349,4288
12616,1990K-1CK,329,3451
15169,1752K-1CK*,449,4282
15285,5424-5,289,4308
14149,9715PU-3,175,3751
15307,5581-54,269,4313
15385,5400-36XL*,299,4341
13328,1810-5,235,3551
13316,2147TBK-1*,119,3550
15578,1933K-1EK*,549,4383
15170,1752K-1EK*,449,4282
13975,8334BLK-2,329,3702
12704,1967KW-1EK*,219,3464
14574,1386-4,133,3914
14467,2147TBK-1*,119,3896
12656,5400K-1CK,359,3458
12680,1978KW-1EK*,499,3461
14332,2052FW-1,69,3869
12276,5070S,36,3328
14192,9700BRW-3,279,3767
15389,5400-50*,569,4341
12714,1961-5,172,3465
12676,2046-6,52,3460
12710,1961K-1CK,199,3465
12672,2046-1*,159,3460
12687,1977K-1EK*,279,3462
12210,5149-36*,61,3311
15266,3614-04,79,4299
15418,1719-6,43,4345
12696,1968K-1EK*,189,3463
12657,5400K-1EK*,359,3458
15212,1788K-1EK*,449,4288
12251,1808A,100,3322
15173,1752-5,289,4282
15767,5575S,45,4411
12671,2046K-1EK*,209,3460
15912,1218F1S-3,189,4458
13253,1834-5,269,3542
12722,1958-6,73,3466
