number,group_number,group_name,description,dimensions,price
8246CR-2,8246CR,Nevaun Collection,Love Seat,57.5 x 34.5  x 34.5H,382.0
1883KN-1EK*,1883N-1,Wade Collection ,Eastern King Wing Bed,HB: 48.5H FB: 14H,292.0
1885FN-1*,1885N-1,Zaira Collection ,Full Bed,HB: 52H FB: 14H,167.0
1704K-1EK*,1704-1,Moorewood Park Collection ,Eastern King Bed,HB: 74.5H FB: 19H,702.0
1707-1*,1707-1,Lavonia Collection ,Queen Bed,HB: 67.25H FB: 20.75H,339.0
1883N-1*,1883N-1,Wade Collection ,Queen / FULL Headboard,HB: 48.5H FB: 14H,260.0
1882N-1*,1882N-1,Bryndle Collection ,Queen / FULL Headboard,HB: 52H FB: 14H,206.0
5569S,5569-78*,Avenhorn Collection,Side Chair,19 x 25 x 38H,49.0
1356BK-5,1356TBK-1,Morelle Collection ,Dresser,54.25 x 19 x 33H,247.0
5573,5573,Lulea Collection,5-Piece Pack Dinette Set,Table: 36 x 48 x 30HChair: 17.5 x 20 x 35.25H,200.0
8246CR-1,8246CR,Nevaun Collection,Chair,32 x 34.5 x 34.5H,275.0
5797KN-1CK,5797N-1,Ember Collection ,California King Bed,HB: 64H FB: 13.5H,0.0
9636-3,9636-3,Laurelton Collection ,Double Reclining Sofa,90 x 40 x 40H,469.0
1882FN-1*,1882N-1,Bryndle Collection ,Full Bed,HB: 52H FB: 14H,192.0
4966DG*,4966DG,Tulney Collection , Daybed with Trundle Daybed:  83.75 x 44 x 41.25H Trundle:  75.75 x 40.25 x 11.75H ,Daybed: 83.75 x 44 x 41.25H Trundle: 75.75 x 40.25 x 11.75H,305.0
2147-12,2147-12,Mayville Collection ," Lingerie Chest, Hidden Drawer ",21.5 x 15.75 x 56H,149.0
1708BK-4,1708TBK-1*,Odelia Collection,Night Stand,24 x 17 x 27.5H,110.0
1955K-1CK,1955-1,Lonan Collection ,California King Bed,HB: 52H FB: 18H,158.0
2528-13,2528-64*,Alouette Collection,49'' Bench,49 x 18 x 20H,69.0
MT-G10F,MGT-10,"Mattress, 10-inch","10"" FULL 2.5""+1.5""+6""",53 x 74 x 10H,230.0
1883FN-1*,1883N-1,Wade Collection ,Full Wing Bed,HB: 48.5H FB: 14H,244.0
2456-24,2456-36,Decatur Collection ,Counter Height Stool,19 x 25 x 41H,49.0
5562-40,5562RF-54*,Oratorio Collection,Server,66 x 19 x 38H,484.0
1856K-1EK*,1856-1,Abbeville Collection ,Eastern King Sleigh Bed,HB: 50.25H FB: 30.5H,199.0
1708BK-1*,1708TBK-1*,Odelia Collection,Queen Bed,HB: 60H  FB: 16H,231.0
5794TAK-1,5794TAK-1,Bart Collection ,Twin Platform Bed,HB: 31.5H FB: 14.15H,61.0
MT-G10ET,MGT-10,"Mattress, 10-inch","10"" EK TWIN 2.5""+1.5""+6""",38 x 80 x 10H,178.0
B2013DC-T,B2013SBDC-1,Rowe Collection ,Storage Boxes,37.5 x 16.5 x 10.75H,44.0
1708BK-9,1708TBK-1*,Odelia Collection,Chest,36 x 18 x 48H,258.0
1856F-1*,1856-1,Abbeville Collection ,Full Sleigh Bed,HB: 50.25H FB: 30.5H,152.0
8367TP-5,8367TP-3,Emilio Collection ," Reversible Chaise, Left/Right Unit ",32.75 x 78 x 33.5H,230.0
1729-4,1729-1*,Vargehese Collection,Night Stand,28 x 17 x 27.5H,181.0
1178WHT,1178,Ride Collection,White Airlift Swivel Stool,23 x 21.5 x 36H,58.0
1856T-1*,1856-1,Abbeville Collection ,Twin Sleigh Bed,HB: 50.25H FB: 30.5H,130.0
2159K-1CK,2159-1,Cumberland Collection ,California King Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 22H,633.0
5494-106*,5494-106,Savion Collection ,Double Pedestal Dining Table,45.5 x 84 – 106 x 30H,489.0
1718GY-9,1718GY-1,Begonia Collection ,Chest,40 x 18 x 52H,249.0
1723-4,1723-1,Aristide Collection ,Night Stand,27 x 17 x 25.5H,191.0
1957K-1EK*,1957-1,Jerrick Collection ,Eastern King Platform Bed with Footboard Storages,HB: 54H FB: 17.75H,388.0
1600K-1CK*,1600-1*,Ridgewood Collection,California King Platform Bed,HB: 48H  FB:11H,462.0
1915-10,1915-1,Anika Collection,Display Cabinet,31.5 x 15.75 x 39.5H,226.0
5514-72*,5514-72*,Salema Collection,"Dining Table, Glass Top",42 x 72 x 30H,242.0
1908K-1CK,1908-1,Summerlin Collection ,California King Bed,HB: 51.75H FB: 15H,218.0
1157RED,1157,Ride Collection ,Red Bonded Leather Airlift Swivel Stool,21.65 x 19.69 x 24.41H,46.0
8405BJ-1,8405BJ-3,Corvallis Collection ,Chair,45 x 36.5 x 36.25H,263.0
4975*,4975*,Vining Collection,Daybed with Trundle,Daybed: 82.75 x 41 x 35.5H Trundle: 75.5 x 40.25 x 11.75H,200.0
1927-6,1927-1,Sorrel Collection ,Mirror,39.75 x 0.75 x 39.75H,74.0
1907K-1EK*,1907-1,Terrace Collection ,Eastern King Bed,HB: 61H FB: 31H,403.0
1131-24S,1131-24S,Shapel Collection,Swivel Counter Height Chair,18 x 19 x 38H,71.0
1907-4,1907-1,Terrace Collection ,Night Stand,27.75 x 17.25 x 26H,135.0
1936F-1*,1936-1,Vestavia Collection ,Full Bed,HB: 49H FB: 18.75H,146.0
1907-9,1907-1,Terrace Collection ,Chest,44.5 x 17.25 x 53.75H,379.0
1844DC-6,1844DC-1,Eunice Collection ,Mirror,45 x 1.75 x 37.75H,86.0
1907-1*,1907-1,Terrace Collection ,Queen Bed,HB: 61H FB: 31H,300.0
1927K-1EK*,1927-1,Sorrel Collection ,Eastern King Platform Bed,HB: 54H FB: 15.25H,483.0
1715-50*,1715-36*,Holverson Collection,Backer's Rack,58 x 18 x 73H,598.0
1907-5,1907-1,Terrace Collection ,Dresser,63 x 17.25 x 40H,420.0
1715-55,1715-94*,Holverson Collection,Buffet / Server,58 x 18 x 41.25H,469.0
9789BRG-4,9789BRG-3LC,Phelps Collection ,Ottoman,47.5 x 24 x 18.5H,84.0
1737KNGY-1EK*,1737NGY-1,Lyric Collection ,Eastern King Sleigh Platform Bed with Footboard Storage,HB: 50H FB: 18H,552.0
1911K-1EK*,1911-1,Granbury Collection ,Eastern King Bed,HB: 64H FB: 19.5H,423.0
1915K-1EK*,1915-1,Anika Collection,Eastern King Platform Bed,HB: 46.5H FB: 14.75H,312.0
1600-1*,1600-1*,Ridgewood Collection,Queen Platform Bed,HB: 48H  FB:11H,381.0
1915F-1*,1915-1,Anika Collection,Full Platform Bed,HB: 46.5H FB: 14.75H,251.0
5447-24S,5447-36,Bayshore Collection ,Swivel Counter Height Chair,20.5 x 23 x 41.25H,84.0
1844DC-1*,1844DC-1,Eunice Collection ,Queen Platform Bed with Footboard Storages,HB: 59.25H FB: 20H,422.0
1907-6,1907-1,Terrace Collection ,Mirror,49.25 x 2 x 39.25H,84.0
1723-5,1723-1,Aristide Collection ,Dresser,66 x 19 x 36.5H,500.0
1844DC-4,1844DC-1,Eunice Collection ,Night Stand,28 x 17.5 x 28H,118.0
1844DC-9,1844DC-1,Eunice Collection ,Chest,38.25 x 17.5 x 49.75H,262.0
1844DC-5,1844DC-1,Eunice Collection ,Dresser,59 x 17.5 x 40.75H,309.0
1600K-1EK*,1600-1*,Ridgewood Collection,Eastern King Platform Bed,HB: 48H  FB:11H,462.0
5328-40,5328-96,Veltry Collection ,Server,56.75 x 18 x 34H,390.0
5052S,5052-118,Thurmont Collection ,Side Chair,23 x 27 x 43.5H,117.0
1600-4,1600-1*,Ridgewood Collection,Night Stand,24 x 17 x 24.75H,133.0
5562-40,5562-96*,Oratorio Collection,Server,66 x 19 x 38H,484.0
1156BLK,1156,Ride Collection ,Black Airlift Swivel Stool,18 x 19 x 31.5H,42.0
1908-9,1908-1,Summerlin Collection ,Chest,37.25 x 16.5 x 49H,186.0
8327TL-1,8327TL-3,Deryn Collection ,Chair,40.25 x 33.75 x 35.5H,164.0
5428-S2,5428-84,Claire Collection,Side Wing Chair,22.5 x 23 x 39.75H,81.0
1715-55,1715-36*,Holverson Collection,Buffet / Server,58 x 18 x 41.25H,469.0
1600-5,1600-1*,Ridgewood Collection,Dresser,66 x 17.5 x 37.75H,428.0
1728-5,1728-1*,Hill Creek Collection,Dresser,63 x 18 x 40H,444.0
8308-CR,8308,Olympia Collection ,Corner Seat,64.5 x 40 x 39.5H,427.0
8480BRW-CR,8480BRW-2LCN,Pecos Collection ,Corner Seat,68.5 x 43 x 39H,296.0
1935-4,1935PN-1,Bonaventure Park Collection ,Night Stand,30 x 18 x 30H,287.0
1967W-5,1967W-1,Pell Collection ,Dresser,59 x 17.75 x 34.5H,236.0
1912K-1EK*,1912-1,Chrysanthe Collection ,Eastern King Bed,HB: 68.5H FB: 25.25H,688.0
1715-50*,1715-94*,Holverson Collection,Backer's Rack,58 x 18 x 73H,598.0
1918K-1EK*,1918-1,Ashden Collection ,Eastern King Bed,HB: 65.5H FB: 17.75H,553.0
9909CH-3*,9909CH,Comfort Living Collection ," Reversible 3-Seater, Left/Right Unit ",78 x 34 x 36H,497.0
1935PNK-1EK*,1935PN-1,Bonaventure Park Collection ,Eastern King Bed,HB: 73H FB: 19H,663.0
1918-1*,1918-1,Ashden Collection ,Queen Bed,HB: 65.5H FB: 17.75H,489.0
1911-1*,1911-1,Granbury Collection ,Queen Bed,HB: 64H FB: 19.5H,353.0
1935PN-1*,1935PN-1,Bonaventure Park Collection ,Queen Bed,HB: 73H FB: 19H,588.0
1912-1*,1912-1,Chrysanthe Collection ,Queen Bed,HB: 68.5H FB: 25.25H,572.0
2524-36*,2524-36,Broome Collection ,Counter Height Table with Storage Base,54 x 42 – 54 x 36H,222.0
8480BRW-2,8480BRW-3,Pecos Collection ,Double Reclining Love Seat,65 x 40 x 39H,420.0
1928K-1EK*,1928-1,Celandine Collection ,Eastern King Bed,HB: 63.25H FB: 20.75H,345.0
5123-96*,5123-96,Hollyhock Collection ,Dining Table,42 x 64 – 80 – 96 x 30H,418.0
B2043-T,B2043SB-1,Bartly Collection ,Storage Boxes,37.5 x 16.5 x 10.75H,45.0
1967W-6,1967W-1,Pell Collection , Mirror with storage ,51.5 x 4.5 x 38.5H,90.0
3608SV-01XL,3608SV-01,Brassica Collection,Large Round Cocktail Table with Faux Marble Top,45 Dia x 15H,190.0
1811W-5,1811W-1,Linnea Collection ,Dresser,63 x 17.75 x 34H,366.0
2515-96,2515-96,Clayton Collection ,Dining Table with Two End Leaves,42 x 72 – 84 – 96 x 30H,313.0
1188BK-24,1188, ,"Stool, Black Top",17 x 10.75 x 25.25H,38.0
3608SV-04,3608SV-01,Brassica Collection,Round End Table with Faux Marble Top,24 Dia x 25H,92.0
1912-4,1912-1,Chrysanthe Collection ,Night Stand,32 x 17 x 30H,240.0
1935-5,1935PN-1,Bonaventure Park Collection ,Dresser,68 x 20 x 40H,681.0
1918K-1CK,1918-1,Ashden Collection ,California King Bed,HB: 65.5H FB: 17.75H,553.0
1927K-1CK,1927-1,Sorrel Collection ,California King Platform Bed,HB: 54H FB: 15.25H,483.0
1918-5,1918-1,Ashden Collection ,Dresser,63.25 x 19 x 41.75H,510.0
8206BRW-3,8206BRW-3,Aram Collection ,Double Reclining Sofa with Center Drop-Down Cup Holders,86.5 x 40.25 x 40.25H,514.0
1935-9,1935PN-1,Bonaventure Park Collection ,Chest,42 x 19 x 58H,591.0
9668BLK-2,9668BLK,Center Hill Collection ,Doble Glider Reclining Love Seat with Center Console,83 x 38.5 x 40H,483.0
1912K-1CK,1912-1,Chrysanthe Collection ,California King Bed,HB: 68.5H FB: 25.25H,688.0
1918-6,1918-1,Ashden Collection ,Mirror,44 x 1.5 x 40.5H,123.0
1918-9,1918-1,Ashden Collection ,Chest,38 x 19 x 54H,423.0
1715-24,1715-36*,Holverson Collection,Counter Height Chair,18 x 21 x 39H,72.0
1912-5,1912-1,Chrysanthe Collection ,Dresser,66 x 18 x 38.25H,611.0
1144E-24S,1144E-24S,Edmond Collection,Swivel Counter Height Chair,18 x 19 x 38H,71.0
1912-9,1912-1,Chrysanthe Collection ,Chest,40.75 x 18 x 60.5H,450.0
5603-36,5603-36*,Timbre Collection,Counter Height Table,30 X 60 X 36H,155.0
1918-11,1918-1,Ashden Collection ,TV Chest,48 x 19 x 40H,369.0
1935-6,1935PN-1,Bonaventure Park Collection ,Mirror,48 x 2 x 40.5H,159.0
2615DC-96*,2615DC-96,Marston Collection ,Dining Table,42 x 76 – 96 x 30H,302.0
5789KN-1CK,5789N-1,Baldwyn Collection ,California King Sleigh Bed,HB: 47.25H FB: 13.75H,237.0
1769-5,1769-1*,Bracco Collection,Dresser,64 x 18 x 32.25H,272.0
3217PU*,3217PU,Hight Rowley Collection ,Gas Lift Table,36 Dia x 20.5H,271.0
2168KWW-1EK*,2168WW-1,Orleans II Collection ,Eastern King Bed,HB: 71.75H FB: 45.5H,909.0
1845LED-1*,1845LED-1,Alonza Collection ,"Queen Bed, LED Lighting",HB: 62H FB: 28H,438.0
8229-ARPW,8229 Sectional,Amite Collection,POWER Armless Reclining Chair,25.25 x 38.25 x 41H,226.0
1916K-1CK,1916-1,Allura Collection ,"California King Bed, LED Lighting",HB: 59.75H FB: 26.25H,390.0
8490-LC,8490,Columbus Collection ,"Left Side Chaise, Push Back Recliner",39 x 65 x 40H,315.0
2147W-4,2147TW,Mayville Collection ,Night Stand,21.5 x 15.75 x 23.75H,63.0
2050F-1,2050F-1,Jayla Collection ,Full Metal Platform Bed,HB: 35.5H FB: 24.5H,98.0
1730KGY-1CK*,1730GY-1*,Cotterill Collection,California King bed,HB: 53.75H  FB: 15.25H,252.0
5447-24S,5447-36XL,Bayshore Collection ,Swivel Counter Height Chair,20.5 x 23 x 41.25H,84.0
5789KBK-1EK*,5789BK-1,Baldwyn Collection ,Eastern King Sleigh Bed,HB: 47.25H FB: 13.75H,210.0
4961DB-NT,4961DB-NT,Julia Collection ,Metal Daybed with Trundle Daybed:  80 x 40.5 x 46.5H Trundle:  74 x 39 x 6H ,Daybed: 80 x 40.5 x 46.5H Trundle: 74 x 39 x 6H,207.0
1916-14,1916-1,Allura Collection ,Vanity Stool,16 x 16 x 19H,38.0
5302BK-29,5302BK,Saddleback Collection ,"Stool, RTA, 29""H, Black",18 x 9 x 29H,26.0
8378GRY-L,8378GRY-L,Barrington Collection ,Left Side 3-Seater,76 x 33 x 34H,237.0
1144E-29S,1144E-24S,Edmond Collection,Swivel Pub Chair,18 x 19 x 43H,73.0
5789FBK-1*,5789BK-1,Baldwyn Collection ,Full Sleigh Bed,HB: 47.25H FB: 13.75H,177.0
8367CH-4,8367CH-3,Emilio Collection ,Ottoman,37.5 x 26 x 18H,77.0
5789N-1*,5789N-1,Baldwyn Collection ,Queen Sleigh Bed,HB: 47.25H FB: 13.75H,207.0
5165GY-48,5165GY-48*,Nisky Collection,Round Dining Table,48 Dia X 30H,115.0
2147-6,2147T-1,Mayville Collection ,Mirror,38.25 x 0.75 x 38.25H,36.0
1958-1*,1958-1,Bevelle Collection ,Queen Bed,HB: 60H FB: 19.25H,375.0
1386T-1*,1386T-1,Cinderella Collection,Twin Bed,HB: 56H FB: 27.5H,218.0
2615DC-11,2615DC-1,Marston Collection ,TV Chest,40 x 19 x 40H,318.0
1916F-1*,1916-1,Allura Collection ,"Full Bed, LED Lighting",HB: 59.75H FB: 26.25H,316.0
1831KP-1,1831P-1,Potrero Collection ,Eastern King/California King Headoard,HB: 54H ,159.0
5165GYS,5165GY-48*,Nisky Collection,Side Chair,18 X 22 X 38H,45.0
1856NG-5,1856NG-1*,Abbeville Collection,"Dresser, Two Hidden Drawers",59.5 x 17.5 x 34.5H,220.0
2259GY-5,2259GY-1,Bethel Collection ,Dresser with Hidden Drawer,65 x 18 x 40H,338.0
2147-4,2147T-1,Mayville Collection ,Night Stand,21.5 x 15.75 x 23.75H,63.0
2024-1HB,2024-1HB,Potrero Collection ,Queen / FULL Headboard,HB: 48.5H ,65.0
1896KN-1CK,1896N-1,Chasin Collection ,California King Platform Bed,HB: 44.25H FB: 11.25H,189.0
8378BRW-L,8378BRW-L,Barrington Collection ,Left Side 3-Seater,76 x 33 x 34H,237.0
1968-6,1968-1,Branton Collection ,Mirror,40 x 1.25 x 38.75H,44.0
1936-5,1936T-1,Vestavia Collection ,Dresser,59 x 15.75 x 35.75H,199.0
2515-13,2515-96,Clayton Collection ,"54"" Bench",54 x 15 x 18H,87.0
5873KN-1CK,5873N-1,Elista Collection ,California King Bed,HB: 56H FB: 22.75H,279.0
2147BK-5,2147TBK,Mayville Collection ,Dresser,58.25 x 15.75 x 33H,184.0
2147SG-9,2147SG-1,Mayville Collection ,Chest,31.25 x 15.75 x 48.25H,149.0
2147W-5,2147W-1,Mayville Collection ,Dresser,58.25 x 15.75 x 33H,184.0
5285S,5285-64,Huron Collection ,Side Chair,19 x 25 x 39H,46.0
B2013DC-9,B2013SBDC-1,Rowe Collection ,Chest,30 x 17 x 37.25H,148.0
1769-4,1769-1*,Bracco Collection,Night Stand,24 x 18 x 26.25H,103.0
1845-9,1845LED-1,Alonza Collection ,Chest,38.5 x 17.75 x 54H,333.0
5302BK,5302BK,Saddleback Collection ,5-Piece Pack Counter Height Set,,147.0
2147SG-12,2147SG-1,Mayville Collection ," Lingerie Chest, Hidden Drawer ",21.5 x 15.75 x 56H,149.0
5447-24S,5447-24S,Bayshore Collection ,Swivel Counter Height Chair,20.5 x 23 x 41.25H,84.0
8490-AR,8490,Columbus Collection ,Armless Reclining Chair,31 x 39 x 40H,188.0
2588S,2588-92,Chicago Collection ,Side Chair,21.75 x 22.25 x 36.5H,78.0
2147SG-5,2147TSG,Mayville Collection ,Dresser,58.25 x 15.75 x 33H,185.0
1600-9,1600-1*,Ridgewood Collection,Chest,36 x 17.5 x 54H,335.0
1967W-1*,1967W-1,Pell Collection ,Queen Bed,HB: 47H FB: 12H,205.0
1600-6,1600-1*,Ridgewood Collection,Mirror,52 x 1.25 x 40H,90.0
4970*,4970,Edmund Collection , Daybed with Trundle Daybed:  87 x 43.5 x 37H Trundle:  76 x 40 x 11.5H ,Daybed: 87 x 43.5 x 37H Trundle: 76 x 40 x 11.5H,280.0
1834-1*,1834-1,Faust Collection ,Queen Sleigh Platform Bed with Footboard Storages,HB: 56H FB: 20H,486.0
8367CH-5,8367CH-3,Emilio Collection ," Reversible Chaise, Left/Right Unit ",32.75 x 78 x 33.5H,230.0
1867-6,1867,Florentina Collection ,Mirror,48.75 x 2.25 x 46H,184.0
8205BR-1,8205BR-1,Earl Collection ,Reclining Chair,32.5 x 36 x 40H,141.0
1882KN-1CK,1882N-1,Bryndle Collection ,California King Bed,HB: 52H FB: 14H,232.0
1845K-1EK*,1845-1,Alonza Collection ,Eastern King Bed,HB: 62H FB: 28H,434.0
1881KPU-1EK*,1881PU-1,Deleon Collection ,Eastern King Platform Bed,HB: 46H FB: 14.5H,126.0
1881KPU-1CK,1881PU-1,Deleon Collection ,California King Platform Bed,HB: 46H FB: 14.5H,126.0
1977-6,1977-1,Aviana Collection ,Mirror,46 x 2.5 x 36H,72.0
1904GY-1*,1904GY-1*,Beechnut Collection,Queen Bed,HB: 53.5 FB:21.25,151.0
1852K-1EK*,1852-1,Porter Collection ,Eastern King Bed,HB: 58H FB: 19.75H,326.0
1866-5,1866,Marceline Collection ,Dresser,74.25 x 18.25 x 41.5H,566.0
5302A,5302A,Saddleback Collection ,5-Piece Pack Counter Height Set,,147.0
1834K-1EK*,1834-1,Faust Collection ,Eastern King Sleigh Platform Bed with Footboard Storage,HB: 56H FB: 20H,585.0
1881FPU-1*,1881PU-1,Deleon Collection ,Full Platform Bed,HB: 46H FB: 14.5H,98.0
5302BK-18,5302BK,Saddleback Collection ,"Stool, RTA, 18""H, Black",18 x 9 x 18H,20.0
1845-9,1845-1,Alonza Collection ,Chest,38.5 x 17.75 x 54H,333.0
1867-5,1867,Florentina Collection ,Dresser with Marble Top,68 x 20 x 37H,683.0
1908K-1EK*,1908-1,Summerlin Collection ,Eastern King Bed,HB: 51.75H FB: 15H,218.0
B2013FFDC-1*,B2013FFDC-1,Rowe Collection ,Full / Full Bunk Bed,78 x 56.25 x 65.5H,310.0
1866-9,1866,Marceline Collection ,Chest,41.5 x 18.25 x 60.75H,446.0
1866K-1CK,1866,Marceline Collection ,California King Bed,HB: 64.25H FB: 33.75H,597.0
1866-11,1866,Marceline Collection ,TV Chest,41.5 x 18.25 x 41.25H,331.0
4950*,4950,Roland Collection , Daybed with Trundle Daybed:  80.75 x 40.5 x 39.5H Trundle:  75.75 x 40.5 x 12.25H ,"",196.0
1852-6,1852-1,Porter Collection ,Mirror,39.5 x 1 x 39.5H,58.0
1936K-1EK*,1936-1,Vestavia Collection ,Eastern King Bed,HB: 49H FB: 18.75H,214.0
1867K-1EK*,1867,Florentina Collection , Eastern King Wing Bed ,HB: 65.25H FB: 25H,760.0
1855K-1CK,1855-1,Cullen Collection ,California King Sleigh Bed,HB: 50H FB: 13.75H,203.0
1867-1*,1867,Florentina Collection , Queen Wing Bed ,HB: 65.25H FB: 25H,644.0
1928-4,1928-1,Celandine Collection ,Night Stand,28 x 17 x 28.75H,123.0
B2013DC-1*,B2013DC-1*,Rowe Collection,Twin/Twin Bunk Bed,78 x 42.5 x 65.5H,223.0
1867K-1CK,1867,Florentina Collection , California King Wing Bed ,HB: 65.25H FB: 25H,760.0
8480BRW-2LCN,8480BRW-2LCN,Pecos Collection ,Left Side Reclining Love Seat with Center Console,69 x 40.5 x 39H,416.0
2447WS,2447,Clarice Collection ,Side Chair,17 x 21.25 x 40.75H,38.0
1968-5,1968-1,Branton Collection ,Dresser,59 x 16.25 x 37H,234.0
8326BLK-3,8326BLK-3,Pendu Collection ,Double Reclining Sofa,81.5 x 38.5 x 39H,535.0
1904GY-6,1904GY-1*,Beechnut Collection,Mirror,41 x 1.25 x 39H,47.0
586-40,586,Ameillia Collection ,Server,52 x 18 x 33H,331.0
1855-9,1855-1,Cullen Collection ,Chest,30 x 17 x 47.75H,158.0
1867-9,1867,Florentina Collection ,Chest,42 x 19 x 56H,602.0
1852-9,1852-1,Porter Collection ,Chest,40 x 16.5 x 54.25H,298.0
1852-11,1852-1,Porter Collection ,TV Chest,40 x 16.5 x 34.75H,211.0
1828K-1CK,1828-1,Chambord Collection ,California King Sleigh Bed,HB: 61.25H FB: 18H,632.0
1728K-1EK*,1728-1*,Hill Creek Collection,Eastern King Bed,HB: 66.5H  FB: 20H,399.0
1730KGY-1EK*,1730GY-1*,Cotterill Collection,Eastern King Bed,HB: 53.75H  FB: 15.25H,252.0
1828-1*,1828-1,Chambord Collection ,Queen Sleigh Bed,HB: 61.25H FB: 18H,539.0
1852K-1CK,1852-1,Porter Collection ,California King Bed,HB: 58H FB: 19.75H,326.0
1811W-9,1811W-1,Linnea Collection ,Chest,35 x 17.75 x 51H,310.0
1828K-1EK*,1828-1,Chambord Collection ,Eastern King Sleigh Bed,HB: 61.25H FB: 18H,632.0
1811FW-1*,1811W-1,Linnea Collection ,Full Bed,HB: 48.25H FB: 11H,195.0
1866K-1EK*,1866,Marceline Collection ,Eastern King Bed,HB: 64.25H FB: 33.75H,597.0
8235GY-2,8235GY-3,Breaux Collection ,Love Seat,61.5 x 34.5 x 33H,242.0
2147W-1*,2147W-1,Mayville Collection ,Queen Sleigh Bed,HB: 47.25H FB: 26.5H,141.0
2147W-9,2147TW,Mayville Collection ,Chest,31.25 x 15.75 x 48.25H,147.0
1810T-1*,1810-1,Bernal Heights Collection ,Twin Bed,HB: 52H FB: 27.5H,196.0
2147TW-1*,2147W-1,Mayville Collection ,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,125.0
8245GY-2,8245GY-3,Kenner Collection ,Love Seat,57 x 36 x 38H,253.0
2147KBK-1CK,2147BK-1,Mayville Collection ,California King Sleigh Bed,HB: 47.25H FB: 26.5H,210.0
1728-4,1728-1*,Hill Creek Collection,Night Stand,28 x 17 x 28H,146.0
2147BK-12,2147BK-1,Mayville Collection ," Lingerie Chest, Hidden Drawer ",21.5 x 15.75 x 56H,149.0
3228-12,3228-30,Factory Collection ,Bookcase,26 x 15 x 74.5H,156.0
8437-1LT,8437-1LT,Iola Collection ,Power Lift Chair,35 x 36.75 x 41.25H,314.0
8245BR-3SL,8245BR-3,Kenner Collection ,Sofa with Sleeper,83 × 36 × 38H,520.0
1828-9,1828-1,Chambord Collection ,Chest,40 x 19 x 55H,438.0
1728-1*,1728-1*,Hill Creek Collection,Queen Bed,HB: 66.5H  FB: 20H,320.0
1728-6,1728-1*,Hill Creek Collection,Mirror,48 x 1.75 x 37H,70.0
2147W-6,2147W-1,Mayville Collection ,Mirror,38.25 x 0.75 x 38.25H,36.0
3580-31,3580-31,Fairhope Collection , 3-Piece Occasional Tables with Faux Marble Top Cocktail Table:  48 x 24 x 18H End Table:  22 x 20 x 21H ,"",137.0
1828-4,1828-1,Chambord Collection ,Night Stand,30 x 18 x 31H,201.0
1866-6,1866,Marceline Collection ,Mirror,58.25 x 3 x 39H,161.0
1728K-1CK*,1728-1*,Hill Creek Collection,California King bed,HB: 66.5H  FB: 20H,399.0
1828-6,1828-1,Chambord Collection ,Wall Mirror / Server Mirror,44 x 2 x 38H,124.0
1422-4,1422-1,Aris Collection ,Night Stand,30.5 x 19.5 x 29.5H,108.0
2434S,2434-48,Dover Collection ,Side Chair,17.5 x 21 x 35.5H,32.0
1828-6LN,1828-1,Chambord Collection ,Landscape Mirror,48 x 1.75 x 36H,130.0
1908-5,1908-1,Summerlin Collection ,Dresser,61 x 16.5 x 37H,239.0
1422-6,1422-1,Aris Collection ,Mirror,40 x 2.25 x 37H,67.0
5494A,5494-106,Savion Collection ,Arm Chair,23.5 x 31.25 x 42H,162.0
1811W-6,1811W-1,Linnea Collection ,Mirror,46 x 1.5 x 37.5H,67.0
1810K-1CK,1810-1,Bernal Heights Collection ,California King Bed,HB: 52H FB: 27.5H,298.0
1811W-4,1811W-1,Linnea Collection ,Night Stand,23.25 x 15.5 x 22.75H,125.0
2243SLK-1CK,2243SL-1,Deryn Park Collection ,California King Sleigh Bed,HB: 70.5H FB: 31.25H,667.0
1808S,1808-112,Russian Hill Collection ,Side Chair,21 x 23 x 43.5H,101.0
586-14,586-82,Ameillia Collection ,"60"" Bench",60 x 16 x 20H,96.0
2169-6,2169SL-1,Hillcrest Manor Collection ,Mirror,46 x 3 x 45H,132.0
2243SL-1*,2243SL-1,Deryn Park Collection ,Queen Sleigh Bed,HB: 70.5H FB: 31.25H,546.0
2146-1*,2146-1,Kari Collection ,Queen Bed,HB: 51.5H FB: 14.5H,121.0
1845-1*,1845-1,Alonza Collection ,Queen Bed,HB: 62H FB: 28H,362.0
2169SLK-1EK*,2169SL-1,Hillcrest Manor Collection ,Eastern King Sleigh Bed,HB: 69H FB: 34H,897.0
2615DCA,2615DC-72,Marston Collection ,Arm Chair,25 x 25.75 x 41.5H,85.0
1936-4,1936-1,Vestavia Collection ,Night Stand,23.5 x 15.75 x 23H,69.0
2169SL-1*,2169SL-1,Hillcrest Manor Collection ,Queen Sleigh Bed,HB: 69H FB: 34H,785.0
2169-11,2169SL-1,Hillcrest Manor Collection ,TV Chest with Marble Inset,48 x 20 x 40H,395.0
1958-5,1958-1,Bevelle Collection ,Dresser,65 x 19.5 x 36.75H,353.0
8255GY-2RCNPHD,8255GY-PW Sectional,Kalmar Collection,"Power Right Side Reclining Love Seat with Center Console, Power Headrest and LED",64.5 x 39 x 40H,533.0
2146-5,2146-1,Kari Collection ,Dresser,56.75 x 16.5 x 38H,223.0
2243-114*,2243-114,Deryn Park Collection ,Dining Table,46 x 86 – 100 – 114 x 30.75H,529.0
2146-6,2146-1,Kari Collection ,Mirror,45.5 x 1 x 35.5H,44.0
