number,group_number,group_name,description,dimensions,price
1919KNC-1EK*,1919NC-1*,Antoinetta Collection,Eastern King Bed,HB: 74H  FB: 35.75H,968.0
1733-6,1733-1,Verano Collection ,Mirror,42 x 2.25 x 42H,73.0
1708KBK-1EK*,1708BK-1*,Odelia Collection,Eastern King Bed,HB: 60H  FB: 16H,271.0
1733K-1EK*,1733-1,Verano Collection ,Eastern King Sleigh Bed,HB: 56H FB: 20H,264.0
1832-5,1832-1*,Cranfills Collection,Dresser,64.5 x 19 x 40.5H,499.0
1386F-1*,1386T-1,Cinderella Collection,Full Bed,HB: 56H FB: 27.5H,253.0
1832-1*,1832-1*,Cranfills Collection,Queen Platform Bed with Footboard Storage,HB: 62H FB: 19.75H,569.0
1715K-1CK*,1715-1*,Holverson Collection,California King Platform Bed,HB: 53H  FB: 17H,433.0
3224N-30,3224N-30,Daria Collection ,Cocktail Table,47.75 x 23.75 x 18H,117.0
4727PU,4727PU,Synergy Collection ,Lift Top Storage Cocktail Ottoman,42 x 42 x 18H,185.0
1715K-1EK*,1715-1*,Holverson Collection,Eastern King Platform Bed,HB: 53H  FB: 17H,433.0
1832-4,1832-1*,Cranfills Collection,Night Stand,28 x 17 x 28.5H,162.0
1733-1*,1733-1,Verano Collection ,Queen Sleigh Bed,HB: 56H FB: 20H,223.0
1729-1*,1729-1*,Vargehese Collection,Queen Bed,HB:62H  FB:20H,401.0
1349-5,1349-1,Glamour Collection ,Dresser,54 x 18 x 40H,289.0
1715-4,1715-1*,Holverson Collection,Night Stand,24 x 18 x 24H,122.0
5428-04,5428-30,Anna Claire Collection ,End Table,26 x 24 x 23.25H,131.0
1715-1*,1715-1*,Holverson Collection,Queen Platform Bed,HB: 53H  FB: 17H,374.0
8229-AC,8229-AC,Amite Collection ,Armless Chair,25.25 x 38.25 x 41H,145.0
1708KBK-1EK*,1708TBK-1*,Odelia Collection,Eastern King Bed,HB: 60H  FB: 16H,271.0
1832K-1CK*,1832-1*,Cranfills Collection,California King Platform Bed with Footboard Storage,HB: 62H FB: 19.75H,661.0
1212F2S,1212F2S,Langdale Collection ,Accent Chair,31.5 x 30.75 x 32.75H,158.0
