id,number,kiosk_price,new_price,old_price,diff
12835,1718GY-9,205,205,200,0
15939,9914-2RCN,240,240,225,0
12009,5494-106*,379,379,379,0
12485,5445-60*,105,,105
12833,1718GY-5,253,253,249,0
12700,1968-5,159,,159,159
12534,586S,31,31,30,0
12497,626-24,52,,52
12557,710-36RD*,215,215,207,0
12224,5108-84,279,279,269,0
14040,8300-3PW*,679,679,659,0
13392,2159-11,289,,289,289
14748,3401W-04*,105,105,99,0
12098,5460-24,30,30,29,0
12510,1393BK-50,269,,269,269
13969,8329BLK-2,235,235,219,0
15915,1218RN-3,199,199,189,0
15423,2220FDBR-1*,85,,85,85
11993,5504S,45,,45,45
12504,1393BK-50,269,,269,269
14610,4950*,165,165,159,0
14310,B2053W-4,59,,59,59
12818,1824-4,189,189,179,0
12465,5302C-18,21,21,20,0
15841,1715-50*,519,519,499,0
11949,5532-24,26,26,25,0
14974,2147-12,119,,119,119
13975,8334BLK-2,349,349,329,0
15213,1788-1*,359,359,349,0
14440,1936-6,32,32,32,0
14377,1955-9,130,130,130,0
15770,2528-13,62,62,59,0
12524,727-40,279,279,269,0
12083,1704S,125,,125,125
11977,5516BMS,38,38,37,0
13664,8202CH-2,125,125,119,0
12498,626-40,289,,289
13832,8206NF-1,219,219,209,0
12209,5149S,27,,27
14021,8480GRY-1,259,259,245,0
14940,H11302,69,69,65,0
15941,9914-1,169,169,159,0
14298,B2043-R,53,53,52,0
14662,3551-04,115,115,109,0
13986,8490-AR,140,140,135,0
13372,2169-5,539,539,519,0
14201,9909CH-3*,179,,179
13003,1844DC-6,73,73,73,0
14469,2147BK-4,59,,59,59
12104,5470S,48,48,45,0
15899,8289GY-1,135,135,129,0
15364,8260GY-AC,85,85,82,0
15174,1752-6,52,52,52,0
14476,2147W-4,59,,59,59
14457,B1799-R,129,,129,129
12149,5438-96*,309,309,299,0
15537,MT-G12EK,349,349,339,0
14421,1856-5,130,130,129,0
12012,5494-40,519,519,499,0
15312,5581S,49,49,45,0
13891,8480BRW-2LCN,290,290,270,0
13860,8490FBR-RR,180,180,169,0
16093,9969GY-L,300,300,280,0
12804,1907W-4,115,115,109,0
15910,1218TL-2,179,179,169,0
14302,B2043FF-1*,275,275,265,0
16029,9911DBR-1,219,219,209,0
15319,5602-24BK,51,51,50,0
12368,2529-64,209,209,195,0
13126,1916-9,249,,249,249
16068,9999DG-1,239,239,229,0
14882,4507-F2,79,79,75,0
14857,4508-SH,37,37,35,0
14593,4968BK-NT,165,165,159,0
12461,2434S,28,28,27,0
12238,1867-40,449,,449,449
13414,2147-5,115,,115,115
12617,1990K-1EK*,329,,329
12584,4517,349,,349
13142,2147SG-4,59,,59,59
13417,2147-12,119,,119,119
13732,8244SD-2,209,209,195,0
11974,5517-40,329,329,319,0
12211,5149-24,29,,29
12653,5415RF-6,73,73,73,0
13520,5790K-1EK*,129,,129,129
13738,8244BU-2,209,209,195,0
12031,5479-14*,145,,145
13328,1810-5,235,,235
12348,2546A,65,65,61,0
15665,1729-5,359,359,349,0
11972,5517-78*,275,275,263,0
12091,5429-36,135,135,129,0
14695,3526-30,249,249,239,0
15679,1604-4,105,105,99,0
16021,9901CC-3,335,335,319,0
15398,1603-9,309,309,299,0
12696,1968K-1EK*,189,,189,189
13391,2159-9,289,,289,289
13699,8225-3,225,225,215,0
15998,1219CH-1,115,115,109,0
13717,8235GY-2,189,189,179,0
13024,1907-4,115,115,109,0
12920,1882FN-1*,179,179,169,0
15948,9940BK-3,160,,160,160
12210,5149-36*,61,,61
15946,9940DB-2,139,,139,139
12390,1155WHT,37,,37
14261,4741FA,85,85,82,0
13069,1919-6,142,142,142,0
12324,2243A,110,110,105,0
13654,8226DB-CR,115,,115
15565,1757-1*,459,459,449,0
15564,1757K-1EK*,559,559,549,0
12092,5429-24,51,51,49,0
12377,2526-96*,327,327,307,0
12352,2546-40M,175,175,165,0
13240,1845-9,289,289,275,0
13195,1890KN-1CK*,155,155,149,0
12050,5328-40,315,315,299,0
12128,5431-40,329,329,319,0
12563,710S,55,55,52,0
14239,8219-30*,72,72,70,0
15362,8256GY-LPW,615,615,595,0
13856,8490FBR-CR,210,210,199,0
14115,9669FCP-CN,56,56,53,0
13806,8223DB-3PW*,649,,649
14128,9636-3,355,355,335,0
15442,5877KBR-1EKDW*,329,,329,329
15666,1729-6,92,92,92,0
16109,9616CN-3,279,,279
16110,9616CN-2,259,,259
16111,9616CN-1,175,,175
12799,1909RF-6,63,,63,63
12749,1949K-1EK*,299,,299,299
15761,5514-72*,217,217,209,0
12381,1178BLK,51,,51,51
12845,1711K-1EK*,329,329,319,0
13283,1811W-4,105,105,101,0
11980,5515GY,67,67,65,0
15909,1218TL-3,199,199,189,0
12192,5179-S2,57,57,55,0
15928,9935GY-2,189,189,179,0
12529,586,179,,179
16009,1224F4S,94,94,89,0
12213,5147BKS,39,,39
12261,5035BLK-29,33,33,32,0
15927,9935GY-3,209,209,199,0
16064,9999GY-2,325,325,309,0
12203,5167FS,62,62,60,0
15563,1757K-1CK*,559,559,549,0
14191,9700BLK-1,189,189,179,0
15195,1766-6,65,65,62,0
16072,8257GRY-3,275,275,259,0
15560,1606-5,279,279,269,0
12879,1704-4,199,,199,199
12869,1706-1*,199,199,199,0
12404,2456-36,225,225,213,0
14781,1288-301,159,159,154,0
12200,5177-54,273,273,259,0
14943,H13441,59,59,55,0
15979,8268PU-1,105,105,99,0
12665,2259GY-1*,399,399,399,0
15392,1603K-1CK*,599,599,599,0
12275,5070-13,62,62,59,0
14435,2145-9,100,,100,100
12970,1915-5,309,309,299,0
13374,2169-9,379,379,369,0
13171,1869-5,225,,225,225
12157,5400-50*,589,589,569,0
15169,1752K-1CK*,459,459,449,0
15984,8267RN-1,105,105,99,0
11951,5531A,105,105,100,0
12533,586-76,215,215,209,0
12058,5477N-40,359,359,349,0
14100,8403-1,175,175,165,0
12765,1946-4,179,,179,179
12030,5479S,49,,49
14494,2147-5,115,,115,115
12096,5429-24ST,41,41,39,0
15311,5581A,69,69,65,0
15908,8250GY-1,119,,119,119
12318,5052-50*,769,769,729,0
13319,2147BK-6,33,,33,33
16006,1219BU-3,209,209,199,0
15994,1219GY-3,209,209,199,0
13878,8230BLK-2RCN,310,310,290,0
12281,5034YLWS,39,39,38,0
12652,5415RF-5,319,319,309,0
12855,1708F-1*,169,,169,169
15483,5874NV-1*,155,155,149,0
11955,5530A,61,61,59,0
12872,1706-5,259,259,249,0
15767,5575S,45,,45,45
15503,5888-1*,249,249,239,0
15907,8250GY-2,179,,179,179
15811,1718GY-90,243,243,239,0
12199,5177S,63,63,60,0
13930,8327TL-1,140,140,135,0
12813,1866GY-6,127,,127,127
12382,1178WHT,51,,51,51
14946,H10130,69,69,65,0
13703,8203GY-3,199,199,189,0
13818,8210GRY-3,335,335,319,0
16035,9903DB-1,209,209,199,0
13455,2124-5,275,275,269,0
12814,1866GY-9,370,,370,370
12290,3276S-CR,39,,39,39
13735,8244RN-2,209,209,195,0
12881,1704-6,122,,122,122
12878,1704-1*,499,,499,499
15970,9789BU-3LC,205,205,195,0
15906,8250GY-3,199,,199,199
12883,1704-11,349,,349,349
15636,1394-6,113,,113,113
12123,5435-24,57,57,55,0
12339,2588-40,399,399,379,0
