Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
1342PUK-1CK,DS,TBDS,"(1/2) CK HDBD/FTBD, P/U",HMLG,124.88(Unit Price),1,,,MCKS,64.2,11.7,1,
1345-9,DS,,CHEST,HMLG,,0,,,MCKS,116.23,24.2,1,
1347-4,DS,,"NIGHT STAND, BLK FIN",HMLG,75.00(Unit Price),0,,,MCKS,61.6,9.2,1,
1347C-2,DS,,"(2/3) QUEEN FTBD, CHRY FIN",HMLG,26.06(Unit Price),0,,,MCKS,17.6,2.67,1,
1347C-3,DS,,"(3/3) QUEEN RL & SL, CHRY FIN",HMLG,,0,,,MCKS,31.9,1.2,1,
1347C-9,DS,,"CHEST, CHRY FIN",HMLG,129.00(Unit Price),0,,,MCKS,132,26.9,1,
1347F-1,DS,,"(1/3) FULL HDBD, BLK FIN",HMLG,,0,,,MCKS,43.83,12.6,1,
1347F-2,DS,,"(2/3) FULL FTBD, BLK FIN",HMLG,,0,,,MCKS,15.4,2.42,1,
1347K-2CK,DS,,"(2/3) CK FTBD, BLK FIN",HMLG,35.06(Unit Price),0,,,MCKS,22.8,3.17,1,
1347K-3CK,DS,,(3/3) CK RL & SL,HMLG,,0,,,MCKS,34.98,1.34,1,
1347KC-3EK,DS,,"(3/3) EK RL & SL, CHRY FIN",HMLG,15.06(Unit Price),0,,,MCKS,34.1,1.28,1,
1347PNKC-1EK,DS,,"(1/3) EK PLTFORM HDBD,CHRY FIN MEZZ",HMLG,159.88(Unit Price),0,,,MCKS,46.2,9.66,1,
1348-1,DS,,"(1/3) QUEEN HDBD, CHERRY FIN",HMLG,,0,,,VCST,35.42,6.1,1,
1348-11,DS,,"TV CHEST, CHRY FIN",HMLG,,0,,,VCST,126.19,26.4,1,
1348-15,DS,,"WRITING DESK, K/D",HMLG,,0,,,VCST,95.2,10.2,1,
1348-15C,DS,,CHAIR FOR WRITING DESK 1PC/CTN,HMLG,,0,,,VCST,13.28,2,1,
