dimensions,description,product_number,number
38.5 x 36.5 x 39.5H,Reclining Chair,8325BLK-3,8325BLK-1
79 x 36.5 x 39.5H,Double Reclining Sofa,8325BRW-3,8325BRW-3
59 x 36.5 x 39.5H,Double Reclining Love Seat,8325BRW-3,8325BRW-2
38.5 x 36.5 x 39.5H,Reclining Chair,8325BRW-3,8325BRW-1
81.5 x 38.5 x 39H,Double Reclining Sofa,8326BLK-3,8326BLK-3
61 x 38.5 x 39H,Double Reclining Love Seat,8326BLK-3,8326BLK-2
42 x 38.5 x 39H,Reclining Chair,8326BLK-3,8326BLK-1
81.5 x 38.5 x 39H,Double Reclining Sofa,8326BRW-3,8326BRW-3
61 x 38.5 x 39H,Double Reclining Love Seat,8326BRW-3,8326BRW-2
42 x 38.5 x 39H,Reclining Chair,8326BRW-3,8326BRW-1
87.75 x 36.5 x 39.5H,Power Double Reclining Sofa,8308-3PW,8308-3PW
64.5 x 36.5 x 39.5H,Power Double Reclining Love Seat,8308-3PW,8308-2PW
41.25 x 36.5 x 39.5H,Power Reclining Chair,8308-3PW,8308-1PW
,,8300-3PW,8300-3PW
,,8300-3PW,8300-2PW
,,8300-3PW,8300-1PW
84.25 x 36 x 36.5H,Sofa,9734TP-3,9734TP-3
63 x 36 x 36.5H,Love Seat,9734TP-3,9734TP-2
40.5 x 36 x 36.5H,Chair,9734TP-3,9734TP-1
84.25 x 36 x 36.5H,Sofa,9734DB-3,9734DB-3
63 x 36 x 36.5H,Love Seat,9734DB-3,9734DB-2
40.5 x 36 x 36.5H,Chair,9734DB-3,9734DB-1
84.25 x 36 x 36.5H,Sofa,9734BK-3,9734BK-3
63 x 36 x 36.5H,Love Seat,9734BK-3,9734BK-2
40.5 x 36 x 36.5H,Chair,9734BK-3,9734BK-1
83 x 37.5 x 38.5H,Power Double Reclining Sofa,9700FCP,9700FCP-3PW
62 x 37.5 x 38.5H,Power Double Reclining Love Seat,9700FCP,9700FCP-2PW
38 x 37.5 x 38.5H,Power Reclining Chair,9700FCP,9700FCP-1PW
83 x 37.5 x 38.5H,Power Double Reclining Sofa,9700BRW-3PW,9700BRW-3PW
62 x 37.5 x 38.5H,Power Double Reclining Love Seat,9700BRW-3PW,9700BRW-2PW
38 x 37.5 x 38.5H,Power Reclining Chair,9700BRW-3PW,9700BRW-1PW
83 x 37.5 x 38.5H,Power Double Reclining Sofa,9700BLK-3PW,9700BLK-3PW
62 x 37.5 x 38.5H,Power Double Reclining Love Seat,9700BLK-3PW,9700BLK-2PW
38 x 37.5 x 38.5H,Power Reclining Chair,9700BLK-3PW,9700BLK-1PW
90 x 38.5 x 40H,Power Double Reclining Sofa,9668BRW-3PW,9668BRW-3PW
83 x 38.5 x 40H,,9668BRW-3PW,9668BRW-2PW
42 x 38.5 x 40H,Power Reclining Chair,9668BRW-3PW,9668BRW-1PW
90 x 38.5 x 40H,Power Double Reclining Sofa,9668BLK-3PW,9668BLK-3PW
83 x 38.5 x 40H,,9668BLK-3PW,9668BLK-2PW
42 x 38.5 x 40H,Power Reclining Chair,9668BLK-3PW,9668BLK-1PW
85.75 x 35 x 36.25H,Sofa,8579DB-3,8579DB-3
63 x 35 x 36.25H,Love Seat,8579DB-3,8579DB-2
40.25 x 35 x 36.25H,Chair,8579DB-3,8579DB-1
98.5 x 39.75 x 32H,Sofa,8427-3,8427-3
74.75 x 39.75 x 32H,Love Seat,8427-3,8427-2
51.25 x 39.75 x 32H,Chair,8427-3,8427-1
84 x 35.75 x 35.75H,Sofa,8413YW-3,8413YW-3
61.5 x 35.75 x 35.75H,Love Seat,8413YW-3,8413YW-2
38.5 x 35.75 x 35.75H,Chair,8413YW-3,8413YW-1
84 x 35.75 x 35.75H,Sofa,8413TL-3,8413TL-3
61.5 x 35.75 x 35.75H,Love Seat,8413TL-3,8413TL-2
38.5 x 35.75 x 35.75H,Chair,8413TL-3,8413TL-1
84 x 35.75 x 35.75H,Sofa,8413GY-3,8413GY-3
61.5 x 35.75 x 35.75H,Love Seat,8413GY-3,8413GY-2
38.5 x 35.75 x 35.75H,Chair,8413GY-3,8413GY-1
84 x 35.75 x 35.75H,Sofa,8413BE-3,8413BE-3
61.5 x 35.75 x 35.75H,Love Seat,8413BE-3,8413BE-2
38.5 x 35.75 x 35.75H,Chair,8413BE-3,8413BE-1
84 x 36.5 x 45H,Sofa,8412-3,8412-3
64 x 36.5 x 45H,Love Seat,8412-3,8412-2
31.5 x 31 x 47.5H,Accent Chair,8412-3,8412-1
53 x 38.5 x 39H,Left Side Reclining Love Seat,8411,8411-2L
66 x 38.5 x 39H,Left Side Reclining Love Seat with Center Console,8411,8411-2LCN
53 x 38.5 x 39H,Right Side Reclining Love Seat,8411,8411-2R
66 x 38.5 x 39H,Right Side Reclining Love Seat with Center Console,8411,8411-2RCN
59 x 40 x 39H,Corner Seat,8411,8411-CR
,,8405BJ-3,8405BJ-3SL
90 x 36.5 x 36.25H,Sofa,8405BJ-3,8405BJ-3
68 x 36.5 x 36.25H,Love Seat,8405BJ-3,8405BJ-2
45 x 36.5 x 36.25H,Chair,8405BJ-3,8405BJ-1
30.75 x 23.5 x 20H,Ottoman,8405BJ-3,8405BJ-4
81 x 38 x 38.5H,Double Reclining Sofa with Center Drop-Down Cup Holders,8403-3,8403-3
61 x 38 x 38.5H,Double Reclining Love Seat,8403-3,8403-2
39.5 x 38 x 38.5H,Reclining Chair,8403-3,8403-1
30.5 x 34.5 x 39.75H,,1234-1,1234-1
32 x 25.5 x 20.25H,,1234-1,1234-4
78 x 33 x 32.5H,Sofa,8518,8518-3
56 x 33 x 32.5H,Love Seat,8518,8518-2
33 x 33 x 32.5H,Chair,8518,8518-1
86 x 36 x 39H,Sofa,8511TP,8511TP-3
64 x 36 x 39H,Love Seat,8511TP,8511TP-2
45 x 36 x 39H,Chair,8511TP,8511TP-1
86 x 36 x 39H,Sofa,8511BK,8511BK-3
64 x 36 x 39H,Love Seat,8511BK,8511BK-2
45 x 36 x 39H,Chair,8511BK,8511BK-1
74.5 x 38 x 30.25H,Sofa,8507BE,8507BE-3
38 x 38 x 30.25H,Chair,8507BE,8507BE-1
22 x 37 x 39H,Armless Chair,9669FCP,9669FCP-AC
13 x 37 x 39H,Console,9669FCP,9669FCP-CN
62 x 37 x 39H,Corner Seat,9669FCP,9669FCP-CR
67 x 37 x 39H,Left Side Reclining Love Seat with Console,9669FCP,9669FCP-LL
32 x 59 x 39H,Right Side Reclining Chaise,9669FCP,9669FCP-RC
84 x 37 x 40H,Double Reclining Sofa,8500BLK,8500BLK-3
63 x 37 x 40H,Double Reclining Love Seat,8500BLK,8500BLK-2
40 x 37 x 40H,Reclining Chair,8500BLK,8500BLK-1
90 x 38.5 x 40H,Double Reclining Sofa,9668BRW,9668BRW-3
83 x 38.5 x 40H,Doble Glider Reclining Love Seat with Center Console,9668BRW,9668BRW-2
42 x 38.5 x 40H,Glider Reclining Chair,9668BRW,9668BRW-1
90 x 38.5 x 40H,Double Reclining Sofa,9668BLK,9668BLK-3
83 x 38.5 x 40H,Doble Glider Reclining Love Seat with Center Console,9668BLK,9668BLK-2
42 x 38.5 x 40H,Glider Reclining Chair,9668BLK,9668BLK-1
90 x 40 x 40H,Double Reclining Sofa,9636-3,9636-3
79 x 40 x 40H,Doble Glider Reclining Love Seat with Center Console,9636-3,9636-2
43 x 40 x 40H,Glider Reclining Chair,9636-3,9636-1
, Double Reclining Sofa ,8524RD,8524RD-3
, Double Glider Reclining Love Seat with Center Console ,8524RD,8524RD-2
, Glider Reclining Chair ,8524RD,8524RD-1
, Double Reclining Sofa ,8524BK,8524BK-3
, Glider Reclining Chair ,8524BK,8524BK-1
, Double Glider Reclining Love Seat with Center Console ,8524BK,8524BK-2
79 x 33 x 35H,Sofa,9639,9639-3
57 x 33 x 35H,Love Seat,9639,9639-2
36 x 33 x 35H,Chair,9639,9639-1
86 x 37 x 38H,Sofa,9616BRW,9616BRW-3
63 x 37 x 38H,Love Seat,9616BRW,9616BRW-2
42 x 37 x 38H,Sofa,9616BRW,9616BRW-1
90 x 40 x 40H,Double Reclining Sofa,9636CC-3,9636CC-3
43 x 40 x 40H,Glider Reclining Chair,9636CC-3,9636CC-1
79 x 40 x 40H,Doble Glider Reclining Love Seat with Center Console,9636CC-3,9636CC-2
70 x 39.5 x 40H,Left Side 2-Seater,9739CH,9739CH-L
38 x 69 x 40H,Right Side Chaise,9739CH,9739CH-R
67 x 29.5 x 22.5H,Ottoman,9739CH,9739CH-4
79.5 x 33 x 38H,Sofa,9715PU,9715PU-3
60 x 33 x 38H,Love Seat,9715PU,9715PU-2
38 x 33 x 38H,Chair,9715PU,9715PU-1
70 x 37 x 39H,Left Side Double Reclining Love Seat with Console,9600,9600-2L
63 x 40.5 x 39H,Corner Seat,9600,9600-CR
23 x 37 x 39H,Armless Chair,9600,9600-AC
57 x 37 x 39H,Right Side Reclining Love Seat,9600,9600-2R
, Sofa ,9603WHT,9603WHT-3
, Love Seat ,9603WHT,9603WHT-2
, Chair ,9603WHT,9603WHT-1
, Sofa ,9603BLK,9603BLK-3
, Love Seat ,9603BLK,9603BLK-2
, Chair ,9603BLK,9603BLK-1
91.5 x 38.5 x 39H,Double Reclining Sofa,9778BLK,9778BLK-3
68 x 38.5 x 39H,Double Reclining Love Seat,9778BLK,9778BLK-2
44 x 38.5 x 39H,Glider Reclining Chair,9778BLK,9778BLK-1
83 x 37.5 x 38.5H,Double Reclining Sofa,9700FCP,9700FCP-3
62 x 37.5 x 38.5H,Double Reclining Love Seat,9700FCP,9700FCP-2
38 x 37.5 x 38.5H,Reclining Chair,9700FCP,9700FCP-1
88 x 38.5 x 39.5H,Double Reclining Sofa with Center Drop-Down Cup Holders,9724BRW,9724BRW-3
77 x 38.5 x 39.5H,Double Glider Reclining Love Seat with Center Console,9724BRW,9724BRW-2
40.5 x 38.5 x 39.5H,Glider Reclining Chair,9724BRW,9724BRW-1
88 x 38.5 x 39.5H,Double Reclining Sofa with Center Drop-Down Cup Holders,9724BLK,9724BLK-3
77 x 38.5 x 39.5H,Double Glider Reclining Love Seat with Center Console,9724BLK,9724BLK-2
40.5 x 38.5 x 39.5H,Glider Reclining Chair,9724BLK,9724BLK-1
86.5 x 41 x 39H,Double Reclining Sofa,9723,9723-3
70.5 x 41 x 39H,Double Reclining Love Seat,9723,9723-2
46.5 x 41 x 39H,Glider Reclining Chair,9723,9723-1
39 x 39 x 40H,"Power Reclining Chair with Massage, LED & Cup Cooler",9745BRW-1,9745BRW-1
35 x 37 x 40H,Power Lift Chair,9769BR,9769BR-1LT
35 x 37 x 40H,Power Lift Chair,9769,9769-1LT
70 x 39.5 x 40H,Left Side 2-Seater,9739,9739-L
38 x 69 x 40H,Right Side Chaise,9739,9739-R
67 x 29.5 x 22.5H,Ottoman,9739,9739-4
84.25 x 33.75 x 36.5H,Sofa,9734CH-3,9734CH-3
63 x 36 x 36.5H,Love Seat,9734CH-3,9734CH-2
40.5 x 36 x 36.5H,Chair,9734CH-3,9734CH-1
84.25 x 36 x 36.5H,Sofa,9734BR-3,9734BR-3
63 x 36 x 36.5H,Love Seat,9734BR-3,9734BR-2
40.5 x 36 x 36.5H,Chair,9734BR-3,9734BR-1
82 x 32 x 34.5H,Sofa,9701BLK,9701BLK-3
60 x 32 x 34.5H,Love Seat,9701BLK,9701BLK-2
37 x 32 x 34.5H,Chair,9701BLK,9701BLK-1
83 x 37.5 x 38.5H,Double Reclining Sofa,9700BLK-3,9700BLK-3
62 x 37.5 x 38.5H,Double Reclining Love Seat,9700BLK-3,9700BLK-2
38 x 37.5 x 38.5H,Reclining Chair,9700BLK-3,9700BLK-1
83 x 37.5 x 38.5H,Double Reclining Sofa,9700BRW-3,9700BRW-3
62 x 37.5 x 38.5H,Double Reclining Love Seat,9700BRW-3,9700BRW-2
38 x 37.5 x 38.5H,Reclining Chair,9700BRW-3,9700BRW-1
78 x 34 x 36H,,9909BR,9909BR-3
84 x 34 x 36H,,9909BR,9909BR-5
37.5 x 26 x 20H,Ottoman,9909BR,9909BR-4
78 x 34 x 36H,,9909CH,9909CH-3
84 x 34 x 36H,,9909CH,9909CH-5
37.5 x 26 x 20H,Ottoman,9909CH,9909CH-4
32.5 Dia x 30H,Swivel Chair,1200BRW,1200BRW
32.5 Dia x 30H,Swivel Chair,1200BLK,1200BLK
36 x 26 x 19.5H,Lift Top Storage Cocktail Ottoman,4501-F2,4501-F2
36 x 26 x 19.5H,Lift Top Storage Cocktail Ottoman,4501-F1,4501-F1
29.5 x 31.5 x 37.5H,Accent Chair,1195F1S,1195F1S
28 x 30 x 37.5H,Accent Chair,1279F3S,1279F3S
28 x 30 x 37.5H,Accent Chair,1279F2S,1279F2S
29 x 31.5 x 34.25H,Accent Chair,1280GY,1280GY
29 x 31.5 x 34.25H,Accent Chair,1280BL,1280BL
29 x 31.5 x 34.25H,Accent Chair,1280BE,1280BE
28 x 30.25 x 34.75H,Accent Chair,1194TL,1194TL
28 x 30.25 x 34.75H,Accent Chair,1194CH,1194CH
28 x 30.25 x 34.75H,Accent Chair,1194TP,1194TP
28 x 30.25 x 34.75H,Accent Chair,1194IN,1194IN
31.5 x 34 x 44.25H,Accent Chair with 1 Kidney Pillow,1217F2S,1217F2S
,,1267GY,1267GY
29 x 36 x 40H,Push Back Reclining Chair,8347BE-1,8347BE-1
30 x 37 x 40H,Push Back Reclining Chair,8348BL-1,8348BL-1
28.75 x 35.5 x 40H,Push Back Reclining Chair,8214BRW-1,8214BRW-1
33 x 35 x 39H,Push Back Reclining Chair,8213-1,8213-1
31 x 35 x 39H,Push Back Reclining Chair,8215GY-1,8215GY-1
31 x 35 x 39H,Push Back Reclining Chair,8215BJ-1,8215BJ-1
32.5 x 36 x 40H,Reclining Chair,8205BR-1,8205BR-1
32.5 x 36 x 40H,Reclining Chair,8205CH-1,8205CH-1
38 x 36 x 40H,Power Reclining Chair,8237PU-1PW,8237PU-1PW
31 x 35.75 x 42.25H,Power Lift Chair,8222-1LT,8222-1LT
82 x 58.5 x 36.5H,Reversible Sofa Chaise,8209BR-3SC,8209BR-3SC
82 x 58.5 x 36.5H,Reversible Sofa Chaise,8208-3SC,8208-3SC
98 x 65.5 x 39H,,8228TP,8228TP
98 x 65.5 x 39H,,8228BU,8228BU
99 x 59 x 35.25H,,8211,8211
47 x 24 x 17H,Cocktail Table,8219-30,8219-30
46 x 23.5 x 19H,Ottoman,8337FA-3,8337FA-4
30 x 33.75 x 37H,Accent Chair,8327GY-1S,8327GY-1S
31.5 x 30.75 x 32.75H,Accent Chair,1212F4S,1212F4S
31.5 x 30.75 x 32.75H,Accent Chair,1193F6S,1193F6S
31.5 x 30.75 x 32.75H,Accent Chair,1193F7S,1193F7S
31.5 x 30.75 x 32.75H,Accent Chair,1193F4S,1193F4S
31.5 x 30.75 x 32.75H,Accent Chair,1193F5S,1193F5S
31.5 x 30.75 x 32.75H,Accent Chair,1193F3S,1193F3S
28.5 x 34.5 x 42.75H,Accent Chair with 1 Kidney Pillow,1270F3S,1270F3S
28.5 x 34.5 x 42.75H,Accent Chair with 1 Kidney Pillow,1270F2S,1270F2S
28.5 x 34.5 x 42.75H,Accent Chair with 1 Kidney Pillow,1270F1S,1270F1S
31.5 x 33.5 x 40H,Accent Chair,1260F2S,1260F2S
31.5 x 33.5 x 40H,Accent Chair,1260F1S,1260F1S
33.5 x 33.5 x 39H,Accent Chair with 1 Kidney Pillow,1245F2S,1245F2S
37.5 x 38 x 40.5H,Accent Chair,1266F1S,1266F1S
32.5 x 37.5 x 40.25H,Accent Chair with 1 Kidney Pillow,1257F1S,1257F1S
35 x 36.75 x 41.25H,Power Lift Chair,8437DBR-1LT,8437DBR-1LT
30 x 33.75 x 37H,Accent Chair,8327TL-1S,8327TL-1S
37 x 28 x 20H,Ottoman,8477-4,8477-4
38 x 38 x 19.25H,Ottoman,8335-4,8335-4
36.25 x 36.25 x 18.25H,Ottoman,8324-4,8324-4
44.5 x 19 x 18.75H,Lift Top Storage Bench,4741FA,4741FA
21 x 25 x 34.5H,,1255F1S,1255F1S
20 x 25 x 36H,Accent Chair,1249F1S,1249F1S
32.75 x 33 x 35H,,1233TL,1233TL
32.75 x 33 x 35H,,1233RN,1233RN
32.75 x 33 x 35H,,1233MD,1233MD
32.75 x 33 x 35H,,1233GY,1233GY
35 x 36.75 x 41.25H,Power Lift Chair,8437-1LT,8437-1LT
29.75 x 38 x 41H,Reclining Chair,8404TP-1,8404TP-1
29.75 x 38 x 41H,Reclining Chair,8404DB-1,8404DB-1
80 x 58.5 x 36.5H,Reversible Sofa Chaise,8401-3SC,8401-3SC
,,4829LN,4829LN
31.5 x 31 x 47.5H,Accent Chair,8412-1,8412-1
26 x 23 x 30H,Accent Chair,1191F6S,1191F6S
26 x 23 x 30H,Accent Chair,1191F5S,1191F5S
26 x 23 x 30H,Accent Chair,1191F2S,1191F2S
26 x 23 x 30H,Accent Chair,1191F4S,1191F4S
26 x 23 x 30H,Accent Chair,1191F3S,1191F3S
26 x 23 x 30H,Accent Chair,1191F1S,1191F1S
22.75 x 29.5 x 32.5H,Armless Chair,468F25S,468F25S
31.5 x 30.75 x 32.75H,Accent Chair,1212F1S,1212F1S
31.5 x 30.75 x 32.75H,Accent Chair,1212F2S,1212F2S
31.5 x 30.75 x 32.75H,Accent Chair,1193F1S,1193F1S
31.5 x 30.75 x 32.75H,Accent Chair,1193F2S,1193F2S
31.5 x 34 x 44.25H,Accent Chair with 1 Kidney Pillow,1217F1S,1217F1S
32 x 32.5 x 37.25H,Accent Chair with 1 Kidney Pillow,1216f1s_2014S-127,1216F1S
30.75 x 37.5 x 41H,Power Lift Chair,8545-1LT,8545-1LT
31 x 35.5 x 41H,Power Lift Chair,8509-1LT,8509-1LT
,,8555WHT-1,8555WHT-1
,,8555BLK-1,8555BLK-1
,,8548BLK-1,8548BLK-1
,,8548BRW-1,8548BRW-1
,,4838,4838
,,4829DB,4829DB
,,4823GP,4823GP
,,4823BR,4823BR
,,4809CH,4809CH
