dimensions,description,product_number,number
62 x 39.5 x 39.5H,Double Reclining Love Seat,8329CH-3,8329CH-2
37.5 x 39.5 x 39.5H,Reclining Chair,8329CH-3,8329CH-1
86 x 39.25 x 40.5H,Double Reclining Sofa,8210GRY-3,8210GRY-3
78 x 39.25 x 40.5H,Double Glider Reclining Love Seat with Center Console,8210GRY-3,8210GRY-2
39 x 39.25 x 40.5H,Glider Reclining Chair,8210GRY-3,8210GRY-1
87.5 x 38.5 x 39H,Double Reclining Sofa with Center Drop-Down Cup Holders,8334DBR-3,8334DBR-3
78 x 38.5 x 39H,Double Glider Reclining Love Seat with Center Console,8334DBR-3,8334DBR-2
42 x 38.5 x 39H,Swivel Glider Reclining Chair,8334DBR-3,8334DBR-1
81.5 x 39 x 39H,Double Reclining Sofa with Center Drop-Down Cup Holders,8201BRW-3,8201BRW-3
72.5 x 39 x 39H,Double Glider Reclining Love Seat with Center Console,8201BRW-3,8201BRW-2
35.5 x 39 x 39H,Glider Reclining Chair,8201BRW-3,8201BRW-1
81.5 x 39 x 39H,Double Reclining Sofa with Center Drop-Down Cup Holders,8201BLK-3,8201BLK-3
72.5 x 39 x 39H,Double Glider Reclining Love Seat with Center Console,8201BLK-3,8201BLK-2
35.5 x 39 x 39H,Glider Reclining Chair,8201BLK-3,8201BLK-1
86.5 x 40.25 x 40.25H,,8206NF-3,8206NF-3
76 x 40.25 x 40.25H,,8206NF-3,8206NF-2
45 x 40.25 x 40.25H,Glider Reclining Chair,8206NF-3,8206NF-1
86.5 x 40.25 x 40.25H,Double Reclining Sofa with Center Drop-Down Cup Holders,8206BRW-3,8206BRW-3
76 x 40.25 x 40.25H,Double Glider Reclining Love Seat with Center Console,8206BRW-3,8206BRW-2
45 x 40.25 x 40.25H,Glider Reclining Chair,8206BRW-3,8206BRW-1
88 x 40.25 x 39H,Double Reclining Sofa,8370BRW-3,8370BRW-3
76 x 40.25 x 39H,Double Glider Reclining Love Seat with Center Console,8370BRW-3,8370BRW-2
40.5 x 40.25 x 39H,Glider Reclining Chair,8370BRW-3,8370BRW-1
31.5 x 38.75 x 40H,Armless Chair,8212-AC,8212-AC
31.5 x 38.75 x 40H,Armless Reclining Chair,8212-AC,8212-AR
13.5 x 37.5 x 40H,Console,8212-AC,8212-CN
66 x 41.5 x 40H,Corner Seat,8212-AC,8212-CR
